yoa	country	gender	perc
2007	BO	F	0.0
2007	BO	M	0.0
2007	BR	F	0.0
2007	BR	M	0.0
2007	BT	F	0.0
2007	BT	M	0.0
2007	BY	F	0.0458
2007	BY	M	0.0443
2007	CB	F	0.0
2007	CB	M	0.0
2007	CD	F	0.0
2007	CD	M	0.0
2007	CE	F	0.0
2007	CE	M	0.0
2007	CG	F	0.0046
2007	CG	M	0.002
2007	CH	F	0.0023
2007	CH	M	0.0
2007	CI	F	0.0
2007	CI	M	0.0
2007	CM	F	0.0
2007	CM	M	0.0
2007	CN	F	0.0
2007	CN	M	0.0
2007	CO	F	0.0
2007	CO	M	0.0
2007	CT	F	0.0
2007	CT	M	0.0
2007	CU	F	0.0183
2007	CU	M	0.0161
2007	DA	F	0.0
2007	DA	M	0.0
2007	DC	F	0.0046
2007	DC	M	0.008
2007	DJ	F	0.0
2007	DJ	M	0.0
2007	EC	F	0.0
2007	EC	M	0.0
2007	EG	F	0.0
2007	EG	M	0.0
2007	ER	F	0.0114
2007	ER	M	0.0241
2007	ET	F	0.016
2007	ET	M	0.0141
2007	GA	F	0.0
2007	GA	M	0.0
2007	GB	F	0.0
2007	GB	M	0.0
2007	GG	F	0.0
2007	GG	M	0.0
2007	GH	F	0.0
2007	GH	M	0.0
2007	GT	F	0.0
2007	GT	M	0.0
2007	GU	F	0.0023
2007	GU	M	0.002
2007	HA	F	0.0
2007	HA	M	0.0
2007	HK	F	0.0
2007	HK	M	0.0
2007	HO	F	0.0
2007	HO	M	0.0
2007	ID	F	0.0
2007	ID	M	0.0
2007	IN	F	0.0
2007	IN	M	0.0
2007	IR	F	0.103
2007	IR	M	0.1107
2007	IS	F	0.0
2007	IS	M	0.0
2007	IV	F	0.0
2007	IV	M	0.0
2007	IZ	F	0.0366
2007	IZ	M	0.0121
2007	JO	F	0.0
2007	JO	M	0.0
2007	KA	F	0.0
2007	KA	M	0.0
2007	KC	F	0.0
2007	KC	M	0.0
2007	KE	F	0.0847
2007	KE	M	0.0825
2007	KG	F	0.0
2007	KG	M	0.0
2007	KM	F	0.0
2007	KM	M	0.0
2007	KN	F	0.0
2007	KN	M	0.002
2007	KRI	F	0.0
2007	KRI	M	0.0
2007	KU	F	0.0
2007	KU	M	0.0
2007	KZ	F	0.0
2007	KZ	M	0.0
2007	LA	F	0.0
2007	LA	M	0.0
2007	LE	F	0.0
2007	LE	M	0.0
2007	LI	F	0.0137
2007	LI	M	0.0141
2007	LO	F	0.0
2007	LO	M	0.0
2007	LY	F	0.0
2007	LY	M	0.0
2007	MA	F	0.0
2007	MA	M	0.0
2007	MD	F	0.0
2007	MD	M	0.0
2007	MI	F	0.0
2007	MI	M	0.0
2007	MLT	F	0.0
2007	MLT	M	0.0
2007	MM	F	0.0
2007	MM	M	0.0
2007	MO	F	0.0
2007	MO	M	0.0
2007	MT	F	0.0
2007	MT	M	0.0
2007	MU	F	0.0
2007	MU	M	0.0
2007	MX	F	0.0046
2007	MX	M	0.004
2007	MY	F	0.0
2007	MY	M	0.0
2007	MZ	F	0.0
2007	MZ	M	0.0
2007	NI	F	0.0
2007	NI	M	0.0
2007	NM	F	0.0
2007	NM	M	0.0
2007	NP	F	0.0
2007	NP	M	0.0
2007	PAL	F	0.0
2007	PAL	M	0.0
2007	PE	F	0.0
2007	PE	M	0.0
2007	PH	F	0.0275
2007	PH	M	0.004
2007	PK	F	0.0
2007	PK	M	0.0
2007	RG	F	0.0
2007	RG	M	0.0
2007	RO	F	0.0
2007	RO	M	0.0
2007	RS	F	0.0092
2007	RS	M	0.006
2007	RW	F	0.0389
2007	RW	M	0.0282
2007	SA	F	0.0046
2007	SA	M	0.004
2007	SB	F	0.0
2007	SB	M	0.0
2007	SD	F	0.0
2007	SD	M	0.0
2007	SF	F	0.0
2007	SF	M	0.0
2007	SG	F	0.0
2007	SG	M	0.0
2007	SH	F	0.0
2007	SH	M	0.0
2007	SK	F	0.0
2007	SK	M	0.0
2007	SL	F	0.0
2007	SL	M	0.002
2007	SO	F	0.1007
2007	SO	M	0.0805
2007	SR	F	0.0
2007	SR	M	0.0
2007	SSU	F	0.0
2007	SSU	M	0.0
2007	SU	F	0.0046
2007	SU	M	0.008
2007	SY	F	0.0
2007	SY	M	0.0
2007	TB	F	0.0
2007	TB	M	0.0
2007	TH	F	0.1236
2007	TH	M	0.1207
2007	TO	F	0.0
2007	TO	M	0.002
2007	TS	F	0.0
2007	TS	M	0.0
2007	TU	F	0.0
2007	TU	M	0.004
2007	TX	F	0.0
2007	TX	M	0.0
2007	TZ	F	0.1053
2007	TZ	M	0.1247
2007	UG	F	0.0
2007	UG	M	0.0
2007	UP	F	0.0
2007	UP	M	0.002
2007	UZ	F	0.0069
2007	UZ	M	0.008
2007	VE	F	0.0
2007	VE	M	0.0
2007	VN	F	0.016
2007	VN	M	0.0221
2007	YM	F	0.0
2007	YM	M	0.0
2007	YO	F	0.0
2007	YO	M	0.0
2007	ZA	F	0.0
2007	ZA	M	0.0
2007	ZI	F	0.0
2007	ZI	M	0.0
2007	ZR	F	0.0
2007	ZR	M	0.0
2008	AB	F	0.0
2008	AB	M	0.0017
2008	AF	F	0.002
2008	AF	M	0.0017
2008	AJ	F	0.0
2008	AJ	M	0.0
2008	AK	F	0.0
2008	AK	M	0.0
2008	AM	F	0.0
2008	AM	M	0.0
2008	AO	F	0.0
2008	AO	M	0.0
2008	AR	F	0.0
2008	AR	M	0.0
2008	AU	F	0.0
2008	AU	M	0.0
2008	BA	F	0.0
2008	BA	M	0.0
2008	BC	F	0.0
2008	BC	M	0.0
2008	BE	F	0.0
2008	BE	M	0.0
2008	BK	F	0.0
2008	BK	M	0.0
2008	BM	F	0.1893
2008	BM	M	0.2356
2008	BO	F	0.0
2008	BO	M	0.0
2008	BR	F	0.0
2008	BR	M	0.0
2008	BT	F	0.14
2008	BT	M	0.1309
2008	BY	F	0.0355
2008	BY	M	0.0297
2008	CB	F	0.0
2008	CB	M	0.0
2008	CD	F	0.0
2008	CD	M	0.0
2008	CE	F	0.0
2008	CE	M	0.0
2008	CG	F	0.0237
2008	CG	M	0.0244
2008	CH	F	0.0
2008	CH	M	0.0052
2008	CI	F	0.0
2008	CI	M	0.0
2008	CM	F	0.0
2008	CM	M	0.0
2008	CN	F	0.0
2008	CN	M	0.0
